Заказчик,Область,Адрес,Код,Дата готовности,цена,Дата оплаты *,profit,Вид работ,№
"ООО ""АТМАКОМ""",Івано-Франківська,"Івано-Франківська область, Богородчанський р-н, с. Росільна",UF0735,25.07.2016,1950,16.12.2016,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська,"Івано-Франківська область, Борогодчанський р-н, смт. Солотвин, вул. Черемшини, 2",UF0963,25.07.2016,1950,16.12.2016,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська,"Івано-Франківська область, Борогодчанський р-н, с. Дзвиняч, вул. Спортивна, 32",UF0976,25.07.2016,1950,16.12.2016,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська,"Івано-Франківська обл., Верховинський район, с.Красник, урочище «Кошарище»,",UF1836,03.07.2016,1950,05.09.2016,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська,"Івано-Франківська обл., Косівський р-н, с. Химчин",UF1857,03.07.2016,1950,05.09.2016,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська," Івано-Франківська обл.,  Богородчанський р-н, с. Глибівка, вул. Гагаріна, ",UF0876,03.07.2016,1950,05.09.2016,350,отчет,
"ООО ""АТМАКОМ""",Херсонська,"м.Херсон, 5км Миколаївського шосе, видавництво «Наддніпрянська правда»
",ODE HER NPZ,18.08.2016,1950,16.12.2016,350,отчет,
"ООО ""АТМАКОМ""",Херсонська,"Одеська обл., Розділянський р-н, м. Роздільна,     вул. 40 років Перемоги. 18",ODE RAZ POB,18.08.2016,1950,16.12.2016,350,отчет,
"ООО ""АТМАКОМ""",Чернігівська,"Чернігівська
обл., м. Ніжин, вул. Космонавтів, 90, водонапірна башта авіазагону МНС",UI0739,18.08.2016,1950,16.12.2016,350,отчет,
"ООО ""АТМАКОМ""",Чернігівська,"м. Чернігів, вул. Любецька, 179;",UI0813,18.08.2016,1950,16.12.2016,350,отчет,
"ООО ""АТМАКОМ""",Чернігівська," м. Чернігів, вул.21-го вересня, 1;",UI0902,24.08.2016,1950,17.01.2017,350,отчет,
"ООО ""АТМАКОМ""",Чернігівська,"Чернігівська обл., м. Ніжин, вул. Синяківська, 79;",UI1939,24.08.2016,1950,17.01.2017,350,отчет,
"ООО ""АТМАКОМ""",Чернігівська,"м. Чернігів, вул. Борисенка, 45;",UI0814,24.08.2016,1950,17.01.2017,350,отчет,
"ООО ""АТМАКОМ""",Чернігівська,"Чернігівська обл., м. Ніжин, вул. Червонокозача, 3;",UI0839,24.08.2016,1950,17.01.2017,350,отчет,
"ООО ""АТМАКОМ""",Чернігівська,"Чернігівська обл., м. Ніжин, вул. Московська, 21.",UI0969,24.08.2016,1950,17.01.2017,350,отчет,
"ООО ""АТМАКОМ""",Миколіївська,"Миколіївська обл., Первомайський р-н, с. Кумари",ODE R82 KUM,28.02.2017,1950,10.04.2017,350,отчет,
"ООО ""АТМАКОМ""",Миколіївська,"Миколіївська обл., Врадіївський р-н, смт. Врадіївка, вул.. Гоголя, 1.",ODE VRA CNT,28.02.2017,1950,10.04.2017,350,отчет,
"ООО ""АТМАКОМ""",Миколіївська,"Миколіївська обл., Кривоозерський р-н, с. Лукнівка.",ODE R82 SYR,28.02.2017,1950,10.04.2017,350,отчет,
"ООО ""АТМАКОМ""",Миколіївська,"Миколіївська обл., Кривоозерський р-н, с. смт. Криве Озеро, вул. Кірова, 133.",ODE M20 KRZ,28.02.2017,1950,10.04.2017,350,отчет,
"ООО ""АТМАКОМ""",Миколіївська,"Миколіївська обл., Кривоозерський р-н, с. Курячі лози.",ODE M20 KLZ,28.02.2017,1950,25.04.2017,350,отчет,
"ООО ""АТМАКОМ""",Київська,"Київська обл., м. Київ, вул. Рокосовського, 8б.",KIE KIE MNS,10.03.2017,1950,15.05.2017,350,отчет,
"ООО ""АТМАКОМ""",Миколіївська,"Миколаївська область, Кривоозерський р-н,
с. Красненьке",ODE M20 KRA,10.03.2017,1950,15.05.2017,350,отчет,
"ООО ""АТМАКОМ""",Миколіївська," Миколіївська обл., Кривоозерський р-н, с. Мазурове.",ODE M20 MAZ,10.03.2017,1950,15.05.2017,350,отчет,
"ООО ""АТМАКОМ""",Миколіївська,"Миколіївська обл.,  Кривоозерський р-н, с. Очеретня.",ODE M20 OCH,10.03.2017,1950,15.05.2017,350,отчет,
"ООО ""АТМАКОМ""",Миколіївська," Миколіївська обл., Врадіївський р-н, с. Адамівка.",ODE VRA ADM,10.03.2017,1950,15.05.2017,350,отчет,
"ООО ""АТМАКОМ""",Миколіївська,"Миколіївська обл.,  Кривоозерський р-н, с. Тридуби.",ODE TRY DUB,10.03.2017,1950,15.05.2017,350,отчет,
"ООО ""АТМАКОМ""",Миколіївська,"Миколаївська область, Врадіївський р-н,
с. Краснівка.",ODE M21 KRA,29.03.2017,1950,01.06.2017,350,отчет,
"ООО ""АТМАКОМ""",Миколіївська,"Миколаївська область, Врадіївський р-н,
с. Новопавлівка.
",ODE NOV PAV,29.03.2017,1950,01.06.2017,350,отчет,
"ООО ""АТМАКОМ""",Миколіївська,"Миколаївська область, Кривоозерський р-н,
с. Секретарка
",ODE SEK RET,29.03.2017,1950,01.06.2017,350,отчет,
"ООО ""АТМАКОМ""",Миколіївська,"Миколаївська область, Кривоозерський р-н,
с. Велика Мечетня.
",ODE VME CHE,29.03.2017,1950,01.06.2017,350,отчет,
"ООО ""АТМАКОМ""",Миколіївська,"Миколаївська область, Кривоозерський р-н,
с. Криве Озеро
",ODE M20 KRO,29.03.2017,1950,01.06.2017,350,отчет,
"ООО ""АТМАКОМ""",Рівненська ,"Рівненська область, с. Моквин.",LVI MKV TWR,29.03.2017,1950,01.06.2017,350,отчет,
"ООО ""АТМАКОМ""",Рівненська ,"Рівненська обл., Рокитнівський р-н, с. Глинне",LVI GLN TOW,27.05.2017,1950,12.06.2017,350,отчет,
